variant_id,object_id,stored_run1,stored_run2,stored_delta,usable_frac_run1,usable_frac_run2,usable_frac_delta,success_rate_run1,success_rate_run2,success_rate_delta
1460,4,96,4,-92,0.75,0.2222222222222222,-0.5277777777777778,0.9696969696969697,0.8571428571428571,-0.11255411255411263
1368,18,96,6,-90,0.6808510638297872,0.3,-0.38085106382978723,0.986013986013986,0.9523809523809523,-0.033633033633033715
1169,1,92,4,-88,0.8598130841121495,0.25,-0.6098130841121495,0.963963963963964,0.9411764705882353,-0.022787493375728718
364,25,96,8,-88,0.7741935483870968,0.42105263157894735,-0.3531409168081494,0.7251461988304093,0.95,0.22485380116959064
1611,15,96,8,-88,0.768,0.4444444444444444,-0.3235555555555556,0.9541984732824428,1.0,0.04580152671755722
1585,1,96,8,-88,0.676056338028169,0.42105263157894735,-0.25500370644922166,0.9861111111111112,0.95,-0.036111111111111205
1207,30,92,5,-87,0.7301587301587301,0.29411764705882354,-0.4360410830999066,0.9473684210526315,0.8947368421052632,-0.05263157894736836
875,24,93,6,-87,0.7380952380952381,0.3333333333333333,-0.4047619047619048,0.9692307692307692,0.9,-0.0692307692307692
32,9,95,8,-87,0.7142857142857143,0.4,-0.3142857142857143,0.9708029197080292,0.8695652173913043,-0.10123770231672491
713,3,95,8,-87,0.6934306569343066,0.42105263157894735,-0.27237802535535927,0.9927536231884058,1.0,0.007246376811594235
213,18,96,9,-87,0.6906474820143885,0.42857142857142855,-0.26207605344296,0.9788732394366197,0.9130434782608695,-0.06582976117575023
1085,22,96,9,-87,0.6713286713286714,0.42857142857142855,-0.2427572427572428,0.9727891156462585,1.0,0.027210884353741527
238,23,96,9,-87,0.6666666666666666,0.42857142857142855,-0.23809523809523808,0.993103448275862,0.9545454545454546,-0.03855799373040747
686,11,96,9,-87,0.6575342465753424,0.45,-0.20753424657534242,0.863905325443787,0.9090909090909091,0.04518558364712211
291,4,96,9,-87,0.7007299270072993,0.5,-0.2007299270072993,0.9785714285714285,1.0,0.021428571428571463
851,14,95,9,-86,0.7196969696969697,0.5,-0.21969696969696972,0.9428571428571428,0.9,-0.042857142857142816
1267,5,96,10,-86,0.6857142857142857,0.5,-0.18571428571428572,0.8284023668639053,0.8695652173913043,0.041162850527398986
472,9,95,10,-85,0.7037037037037037,0.5,-0.20370370370370372,0.9,0.9523809523809523,0.052380952380952306
1367,6,96,11,-85,0.7111111111111111,0.5238095238095238,-0.1873015873015873,1.0,0.9130434782608695,-0.08695652173913049
596,10,95,10,-85,0.6597222222222222,0.5,-0.1597222222222222,0.9171974522292994,0.9090909090909091,-0.00810654313839032
816,16,90,6,-84,0.6617647058823529,0.3,-0.36176470588235293,0.9645390070921985,1.0,0.03546099290780147
73,27,91,7,-84,0.6319444444444444,0.35,-0.28194444444444444,0.8944099378881988,0.9523809523809523,0.05797101449275355
1360,24,92,8,-84,0.6174496644295302,0.4,-0.21744966442953018,0.9675324675324676,1.0,0.03246753246753242
1864,17,95,11,-84,0.7251908396946565,0.5238095238095238,-0.20138131588513264,1.0,1.0,0.0
275,5,95,11,-84,0.7089552238805971,0.5789473684210527,-0.1300078554595444,0.8933333333333333,1.0,0.10666666666666669
