variant_id,object_id,stored,success,attempt,usable_good_frac,success_rate,slots,min_slot_count,max_slot_count
1315,24,4,132,135,0.030303030303030304,0.9777777777777777,3,0,3
358,19,5,132,134,0.03787878787878788,0.9850746268656716,3,0,4
79,16,6,125,139,0.048,0.8992805755395683,3,0,3
1768,2,6,111,126,0.05405405405405406,0.8809523809523809,3,1,4
1030,22,7,122,125,0.05737704918032787,0.976,3,0,4
622,22,8,128,131,0.0625,0.9770992366412213,3,0,7
307,16,8,116,123,0.06896551724137931,0.943089430894309,3,1,5
741,4,8,106,114,0.07547169811320754,0.9298245614035088,3,2,4
812,13,9,137,145,0.06569343065693431,0.9448275862068966,3,3,3
1219,18,9,100,115,0.09,0.8695652173913043,3,2,5
1690,14,10,105,116,0.09523809523809523,0.9051724137931034,3,1,8
350,2,11,121,133,0.09090909090909091,0.9097744360902256,3,2,7
733,4,11,121,124,0.09090909090909091,0.9758064516129032,3,0,10
8,21,11,117,129,0.09401709401709402,0.9069767441860465,3,1,7
254,0,12,126,129,0.09523809523809523,0.9767441860465116,3,3,5
313,5,12,122,125,0.09836065573770492,0.976,3,0,9
1304,10,13,131,139,0.09923664122137404,0.9424460431654677,3,1,10
730,26,13,120,123,0.10833333333333334,0.975609756097561,3,3,7
841,30,13,117,120,0.1111111111111111,0.975,3,0,12
1387,17,13,112,118,0.11607142857142858,0.9491525423728814,3,0,11
461,2,13,109,112,0.11926605504587157,0.9732142857142857,3,1,9
507,29,13,68,106,0.19117647058823528,0.6415094339622641,3,0,12
1505,26,14,136,142,0.10294117647058823,0.9577464788732394,3,2,7
257,17,14,134,138,0.1044776119402985,0.9710144927536232,3,0,9
658,16,14,132,133,0.10606060606060606,0.9924812030075187,3,3,7
1437,6,14,123,128,0.11382113821138211,0.9609375,3,2,10
188,27,14,113,122,0.12389380530973451,0.9262295081967213,3,1,10
405,12,14,108,124,0.12962962962962962,0.8709677419354839,3,0,11
1099,12,14,106,135,0.1320754716981132,0.7851851851851852,3,2,7
236,0,14,104,111,0.1346153846153846,0.9369369369369369,3,3,8
52,28,15,145,148,0.10344827586206896,0.9797297297297297,3,2,8
13,26,15,134,138,0.11194029850746269,0.9710144927536232,3,2,7
1260,4,15,134,136,0.11194029850746269,0.9852941176470589,3,0,10
1771,27,15,132,137,0.11363636363636363,0.9635036496350365,3,3,6
883,12,15,120,130,0.125,0.9230769230769231,3,1,13
357,25,15,118,126,0.1271186440677966,0.9365079365079365,3,1,11
935,19,15,117,123,0.1282051282051282,0.9512195121951219,3,3,9
190,1,15,116,120,0.12931034482758622,0.9666666666666667,3,0,9
1184,2,15,100,117,0.15,0.8547008547008547,3,0,13
1342,26,15,97,107,0.15463917525773196,0.9065420560747663,3,2,7
1610,20,16,134,136,0.11940298507462686,0.9852941176470589,3,1,12
42,20,16,123,125,0.13008130081300814,0.984,3,4,7
7,24,16,121,136,0.1322314049586777,0.8897058823529411,3,1,13
241,23,16,120,124,0.13333333333333333,0.967741935483871,3,2,8
1964,14,16,120,120,0.13333333333333333,1.0,3,1,13
493,26,16,112,120,0.14285714285714285,0.9333333333333333,3,5,6
1152,29,16,109,113,0.14678899082568808,0.9646017699115044,3,2,10
165,21,16,93,116,0.17204301075268819,0.8017241379310345,3,3,8
1276,24,17,129,133,0.13178294573643412,0.9699248120300752,3,1,8
1173,20,17,128,132,0.1328125,0.9696969696969697,3,1,14
624,13,17,127,175,0.13385826771653545,0.7257142857142858,3,3,9
1180,3,17,121,129,0.14049586776859505,0.937984496124031,3,2,13
1729,2,17,121,125,0.14049586776859505,0.968,3,3,8
1736,22,18,136,139,0.1323529411764706,0.9784172661870504,3,2,13
1527,25,18,130,143,0.13846153846153847,0.9090909090909091,3,0,17
1377,31,18,129,141,0.13953488372093023,0.9148936170212766,3,0,16
1995,13,18,129,148,0.13953488372093023,0.8716216216216216,3,2,13
1328,28,18,122,126,0.14754098360655737,0.9682539682539683,3,1,15
1586,2,18,120,152,0.15,0.7894736842105263,3,4,7
586,27,18,119,138,0.15126050420168066,0.8623188405797102,3,2,8
1635,16,18,115,123,0.1565217391304348,0.9349593495934959,3,3,11
1293,26,18,98,109,0.1836734693877551,0.8990825688073395,3,3,10
449,7,18,72,104,0.25,0.6923076923076923,3,1,15
1626,2,19,133,155,0.14285714285714285,0.8580645161290322,3,1,12
475,15,19,129,133,0.14728682170542637,0.9699248120300752,3,0,13
665,0,19,128,138,0.1484375,0.927536231884058,3,3,11
1308,19,19,126,131,0.15079365079365079,0.9618320610687023,3,2,10
1655,10,19,126,141,0.15079365079365079,0.8936170212765957,3,4,8
607,13,19,125,191,0.152,0.6544502617801047,3,1,11
68,7,19,122,125,0.1557377049180328,0.976,3,3,9
529,8,19,119,124,0.15966386554621848,0.9596774193548387,3,0,14
341,31,19,116,124,0.16379310344827586,0.9354838709677419,3,3,11
986,28,19,113,118,0.168141592920354,0.9576271186440678,3,3,12
456,14,19,111,118,0.17117117117117117,0.940677966101695,3,3,12
237,9,20,149,154,0.1342281879194631,0.9675324675324676,3,3,11
499,30,20,136,140,0.14705882352941177,0.9714285714285714,3,3,10
971,0,20,125,126,0.16,0.9920634920634921,3,1,11
31,17,20,124,175,0.16129032258064516,0.7085714285714285,3,4,9
674,8,20,124,125,0.16129032258064516,0.992,3,0,12
51,9,20,123,126,0.16260162601626016,0.9761904761904762,3,4,10
1116,9,20,119,121,0.16806722689075632,0.9834710743801653,3,1,11
1719,13,20,113,183,0.17699115044247787,0.6174863387978142,3,1,13
1257,9,20,110,117,0.18181818181818182,0.9401709401709402,3,2,14
60,20,20,107,117,0.18691588785046728,0.9145299145299145,3,3,12
1062,31,20,100,112,0.2,0.8928571428571429,3,2,12
869,14,21,144,154,0.14583333333333334,0.935064935064935,3,2,10
301,27,21,131,132,0.16030534351145037,0.9924242424242424,3,3,10
1255,8,21,130,141,0.16153846153846155,0.9219858156028369,3,0,13
1654,2,21,127,140,0.16535433070866143,0.9071428571428571,3,3,15
1703,31,21,127,139,0.16535433070866143,0.9136690647482014,3,1,15
848,3,21,117,126,0.1794871794871795,0.9285714285714286,3,5,9
1531,4,21,115,122,0.1826086956521739,0.9426229508196722,3,1,11
882,18,21,114,121,0.18421052631578946,0.9421487603305785,3,0,19
1178,31,21,110,120,0.19090909090909092,0.9166666666666666,3,1,19
1849,16,22,149,150,0.1476510067114094,0.9933333333333333,3,1,11
1182,29,22,141,149,0.15602836879432624,0.9463087248322147,3,4,13
1452,9,22,141,145,0.15602836879432624,0.9724137931034482,3,1,17
1139,17,22,134,138,0.16417910447761194,0.9710144927536232,3,0,12
235,31,22,133,140,0.16541353383458646,0.95,3,4,12
928,31,22,133,139,0.16541353383458646,0.9568345323741008,3,1,19
1133,11,22,132,144,0.16666666666666666,0.9166666666666666,3,3,13
1656,13,22,132,160,0.16666666666666666,0.825,3,3,15
305,29,22,128,132,0.171875,0.9696969696969697,3,3,14
489,26,22,125,132,0.176,0.946969696969697,3,6,10
1869,29,22,125,130,0.176,0.9615384615384616,3,2,12
758,30,22,121,121,0.18181818181818182,1.0,3,1,16
683,20,22,120,121,0.18333333333333332,0.9917355371900827,3,4,13
1098,7,22,120,123,0.18333333333333332,0.975609756097561,3,5,11
638,22,22,113,115,0.19469026548672566,0.9826086956521739,3,0,21
150,22,22,110,111,0.2,0.990990990990991,3,7,8
57,8,22,109,119,0.2018348623853211,0.9159663865546218,3,1,16
663,25,22,107,111,0.205607476635514,0.963963963963964,3,5,10
1697,31,22,95,117,0.23157894736842105,0.811965811965812,3,1,20
1517,16,23,150,161,0.15333333333333332,0.9316770186335404,3,2,13
708,5,23,148,171,0.1554054054054054,0.8654970760233918,3,0,18
100,12,23,137,184,0.1678832116788321,0.7445652173913043,3,3,11
1642,24,23,129,137,0.17829457364341086,0.9416058394160584,3,1,11
1153,11,23,127,138,0.18110236220472442,0.9202898550724637,3,0,21
726,10,23,122,135,0.1885245901639344,0.9037037037037037,3,0,18
347,30,23,121,123,0.19008264462809918,0.983739837398374,3,2,18
1728,30,23,120,127,0.19166666666666668,0.9448818897637795,3,2,16
145,15,23,118,126,0.19491525423728814,0.9365079365079365,3,0,16
1155,5,23,118,128,0.19491525423728814,0.921875,3,1,12
1471,22,23,118,122,0.19491525423728814,0.9672131147540983,3,7,9
2015,13,23,116,128,0.19827586206896552,0.90625,3,1,21
1766,17,23,114,117,0.20175438596491227,0.9743589743589743,3,1,15
