comparison,metric,delta
success_correct_only_minus_mixed_correct,base_x_mean,-0.00022980683848267125
success_correct_only_minus_mixed_correct,base_y_mean,-0.000965784432623143
success_correct_only_minus_mixed_correct,base_yaw_mean,0.00014787809728763026
success_correct_only_minus_mixed_correct,obj_rel_base_x_mean,-0.003099596031100882
success_correct_only_minus_mixed_correct,obj_rel_base_y_mean,-0.011240111572490621
success_correct_only_minus_mixed_correct,table_x_mean,0.00036241991000629525
success_correct_only_minus_mixed_correct,table_y_mean,-0.002590724350995166
success_correct_only_minus_mixed_correct,object_mass_mean,nan
failure_correct_only_minus_mixed_correct,base_x_mean,-4.28207463077368e-05
failure_correct_only_minus_mixed_correct,base_y_mean,0.0006232629446492194
failure_correct_only_minus_mixed_correct,base_yaw_mean,0.0005229539864519729
failure_correct_only_minus_mixed_correct,obj_rel_base_x_mean,-0.004984494348279633
failure_correct_only_minus_mixed_correct,obj_rel_base_y_mean,-0.017546498693881404
failure_correct_only_minus_mixed_correct,table_x_mean,0.0006954069602520541
failure_correct_only_minus_mixed_correct,table_y_mean,-0.0011751194566720358
failure_correct_only_minus_mixed_correct,object_mass_mean,nan
