variant_id,mixed_success_correct,correct_success,mixed_failure_correct,correct_failure
0,21,18,15,13
1,16,10,27,14
2,5,8,25,34
3,9,6,43,33
4,23,14,18,18
5,15,16,20,21
6,7,6,29,38
7,15,17,19,14
8,14,17,25,24
9,18,17,18,16
10,20,24,13,7
11,27,22,2,3
12,4,2,37,36
13,10,7,25,24
14,19,19,15,18
15,15,14,15,34
16,26,18,6,9
17,8,7,26,28
18,16,19,8,5
19,18,28,7,5
20,34,25,1,7
21,33,25,2,7
22,5,5,26,41
23,25,20,7,4
24,10,7,35,40
25,11,14,29,27
26,14,21,15,4
27,14,15,33,33
28,29,22,6,1
29,28,22,9,14
30,30,24,8,11
31,5,6,33,29
32,15,10,17,28
33,12,8,29,37
34,10,5,25,17
35,18,17,17,14
36,7,10,23,24
37,9,14,33,20
38,17,12,17,19
39,25,17,11,8
40,21,18,10,12
41,20,18,17,11
42,26,21,6,7
43,24,22,8,6
44,21,22,12,9
45,12,16,15,10
46,19,27,7,2
47,24,11,12,11
48,36,25,4,5
49,11,12,24,32
50,9,6,28,17
51,16,12,30,16
52,18,17,17,15
53,3,1,35,44
54,19,18,6,6
55,13,16,25,23
56,26,24,9,4
57,18,16,14,11
58,12,11,19,23
59,5,2,26,23
60,23,28,11,2
61,2,3,38,36
62,22,17,23,28
63,11,8,24,26
64,23,10,13,10
65,20,18,9,12
66,24,23,23,16
67,21,21,22,19
68,14,16,12,13
69,12,11,20,19
70,15,22,14,19
71,22,28,12,3
72,22,21,12,6
73,10,10,31,30
74,23,24,14,14
75,11,9,32,30
76,32,27,10,12
77,28,11,28,34
78,29,24,6,3
79,19,12,11,13
80,34,26,8,5
81,27,24,9,6
82,28,24,7,7
83,27,19,4,8
84,10,6,36,36
85,3,7,37,26
86,23,15,20,9
87,18,16,14,20
88,19,22,18,20
89,2,6,43,40
90,7,11,28,37
91,20,20,22,15
92,27,19,8,8
93,6,11,34,35
94,6,11,25,37
95,15,20,12,6
96,23,16,4,6
97,10,7,30,30
98,31,24,7,3
99,3,4,35,47
100,1,3,44,44
101,28,25,16,10
102,14,13,13,23
103,5,8,33,41
104,16,19,14,26
105,22,18,23,15
106,14,12,30,25
107,21,22,12,20
108,23,24,3,5
109,9,10,40,42
110,6,9,32,29
111,12,11,22,18
112,5,8,38,36
113,9,11,31,33
114,17,12,20,21
115,13,7,30,45
116,5,3,36,46
117,24,20,4,4
118,9,13,28,32
119,2,7,43,39
120,23,19,13,13
121,23,25,9,7
122,17,19,13,9
123,17,17,17,24
124,4,4,38,38
125,25,22,19,10
126,7,8,40,35
127,18,19,25,15
128,7,7,33,52
129,6,6,28,30
130,22,20,8,7
131,22,19,9,6
132,6,5,37,31
133,18,16,9,13
134,22,20,13,10
135,29,17,15,7
136,23,22,15,10
137,15,13,20,28
138,6,12,25,20
139,27,25,8,7
140,18,22,19,16
141,11,14,27,33
142,9,5,37,24
143,4,7,40,30
144,15,11,26,19
145,19,22,7,5
146,9,14,32,23
147,6,5,38,37
148,5,8,44,43
149,24,25,8,4
150,36,23,3,6
151,19,17,11,14
152,17,14,36,32
153,22,25,11,13
154,17,18,25,34
155,12,8,30,39
156,27,27,8,6
157,21,11,9,20
158,2,7,37,31
159,23,28,14,5
160,19,21,21,10
161,18,11,21,22
162,3,6,38,49
163,16,22,9,5
164,33,27,6,4
165,16,17,32,25
166,3,10,28,27
167,4,6,32,33
168,20,18,16,16
169,8,9,32,32
170,21,26,14,7
171,7,5,37,41
172,19,21,12,15
173,13,14,22,33
174,1,4,39,25
175,6,5,31,33
176,7,8,23,41
177,26,23,2,10
178,15,10,11,19
179,24,14,8,10
180,32,17,5,5
181,1,9,32,35
182,22,13,11,10
183,17,11,21,19
184,24,18,13,9
185,12,12,15,22
186,20,21,19,17
187,8,6,42,45
188,5,9,34,35
189,24,18,5,7
190,28,19,18,17
191,5,8,27,26
192,27,21,18,20
193,8,13,22,30
194,24,19,7,5
195,7,3,37,38
196,3,10,38,39
197,2,3,35,42
198,25,23,12,11
199,27,16,9,6
200,17,17,13,11
201,17,11,17,20
202,26,21,17,17
203,5,12,27,37
204,7,5,35,44
205,23,17,7,4
206,7,12,25,31
207,33,27,2,3
208,6,3,28,36
209,27,26,8,3
210,26,19,11,7
211,30,27,5,14
212,6,6,29,42
213,19,17,9,8
214,3,4,32,49
215,10,6,36,39
216,6,5,32,39
217,4,6,30,28
218,15,16,33,30
219,13,10,30,26
220,14,22,27,22
221,21,26,5,3
222,3,14,30,23
223,12,13,26,27
224,21,17,9,7
225,19,19,14,15
226,11,11,26,31
227,10,11,31,25
228,19,21,20,17
229,13,9,23,31
230,2,5,39,41
231,8,2,29,32
232,16,15,28,24
233,16,20,18,16
234,20,13,12,12
235,13,12,27,23
236,27,23,6,5
237,14,10,27,25
238,12,11,28,34
239,8,7,25,35
240,25,28,5,3
241,9,11,26,25
242,33,27,2,5
243,32,18,5,8
244,9,10,36,33
245,31,26,8,6
246,5,3,37,44
247,21,14,14,9
248,20,17,11,8
249,6,6,30,33
250,15,24,10,8
251,12,11,28,15
252,8,11,29,33
253,30,22,7,8
254,16,19,9,10
255,22,23,29,19
256,3,4,27,34
257,5,8,26,33
258,32,24,5,9
259,9,9,23,31
260,3,4,28,46
261,12,19,20,12
262,12,9,33,36
263,17,25,8,6
264,24,20,18,12
265,8,12,25,44
266,6,2,29,47
267,4,12,39,31
268,15,19,14,12
269,21,21,21,20
270,14,12,29,25
271,19,18,10,13
272,18,22,18,18
273,24,22,12,6
274,5,8,28,29
275,7,7,41,33
276,11,12,26,30
277,22,19,15,15
278,13,13,25,23
279,7,14,39,34
280,5,8,31,44
281,7,5,30,43
282,3,7,26,41
283,5,5,31,39
284,21,25,14,14
285,11,12,34,33
286,8,5,44,46
287,12,11,23,23
288,16,24,23,11
289,1,1,44,44
290,17,17,8,9
291,5,7,41,31
292,3,4,50,45
293,13,21,15,10
294,6,10,31,34
295,29,15,4,6
296,18,20,16,7
297,6,8,38,25
298,21,14,21,12
299,6,6,39,48
300,4,10,36,35
301,7,9,25,23
302,17,19,18,17
303,16,20,15,9
304,13,10,29,31
305,13,16,18,18
306,6,10,32,22
307,20,19,6,5
308,16,16,13,21
309,8,17,23,23
310,6,8,33,37
311,4,6,35,34
312,13,12,25,27
313,6,5,43,42
314,23,26,13,6
315,9,10,27,44
316,19,18,19,15
317,24,13,12,9
318,33,21,18,26
319,5,4,35,45
320,11,10,27,30
321,9,8,32,34
