object_id,attempts,successes,failures,success_rate,failure_share
12,2963,245,2718,0.08268646641916975,0.06007160853998143
25,2934,332,2602,0.11315610088616224,0.05750784599743624
4,2780,317,2463,0.11402877697841726,0.05443575122662777
5,2779,422,2357,0.15185318459877653,0.05209300269637095
26,2795,439,2356,0.15706618962432917,0.052070901295142115
17,2301,368,1933,0.15993046501521077,0.042722008575343674
27,2742,469,2273,0.17104303428154632,0.05023648499314857
6,2726,487,2239,0.17865003668378576,0.049485037351368076
13,3339,633,2706,0.18957771787960467,0.05980639172523538
2,2692,608,2084,0.22585438335809807,0.0460593201608982
23,2466,710,1756,0.28791565287915655,0.038810060557839365
11,2481,724,1757,0.29181781539701734,0.038832161959068204
9,2288,761,1527,0.3326048951048951,0.03374883967643549
31,2112,715,1397,0.3385416666666667,0.03087565751668656
21,2918,1031,1887,0.3533241946538725,0.041705344118817135
30,2583,1003,1580,0.3883081687959737,0.034920213941563895
24,2053,941,1112,0.45835362883584996,0.024576758166467753
1,2629,1246,1383,0.47394446557626474,0.030566237899482828
29,2241,1140,1101,0.5087014725568942,0.024333642752950538
3,2386,1255,1131,0.5259849119865885,0.024996684789815673
8,1898,1059,839,0.5579557428872497,0.018543075630995005
7,1808,1048,760,0.5796460176991151,0.01679706493391681
18,1789,1109,680,0.6198993851313583,0.015028952835609777
28,1858,1231,627,0.66254036598493,0.01385757857048137
19,2091,1386,705,0.6628407460545194,0.015581487866330726
16,1705,1170,535,0.6862170087976539,0.01182424965742828
10,2197,1526,671,0.6945835229858899,0.014830040224550237
0,1567,1188,379,0.7581365666879387,0.008376431065729568
14,2075,1592,483,0.7672289156626506,0.010674976793528709
15,1923,1502,421,0.781071242849714,0.009304689917340759
20,2002,1581,421,0.7897102897102897,0.009304689917340759
22,1857,1494,363,0.8045234248788369,0.00802280864606816
