variant_id,correct_success_count,total_success_count,wrong_success_count
0,53,70,17
1,26,64,38
2,25,65,40
3,31,64,33
4,13,58,45
5,22,60,38
6,37,62,25
7,17,63,46
8,12,55,43
9,24,58,34
10,43,67,24
11,23,65,42
12,40,69,29
13,22,64,42
14,31,55,24
15,16,64,48
16,22,58,36
17,29,59,30
18,33,73,40
19,18,58,40
20,23,53,30
21,23,58,35
22,22,60,38
23,26,52,26
24,36,56,20
25,35,66,31
26,56,69,13
27,21,61,40
28,24,48,24
29,28,64,36
30,32,73,41
31,17,62,45
32,48,63,15
33,15,49,34
34,10,45,35
35,36,57,21
36,34,56,22
37,13,54,41
38,30,72,42
39,26,61,35
40,23,63,40
41,27,64,37
42,9,60,51
43,32,59,27
44,36,61,25
45,22,68,46
46,23,56,33
47,22,64,42
48,14,61,47
49,22,55,33
50,31,58,27
51,17,59,42
52,20,71,51
53,33,64,31
54,20,69,49
55,27,67,40
56,35,65,30
57,15,48,33
58,24,71,47
59,14,69,55
60,10,52,42
61,26,59,33
62,39,76,37
63,23,68,45
64,30,56,26
65,26,57,31
66,43,63,20
67,33,70,37
68,12,56,44
69,27,60,33
70,37,63,26
71,25,56,31
72,21,64,43
73,41,69,28
74,19,69,50
75,21,71,50
76,24,67,43
77,31,64,33
78,36,49,13
79,12,63,51
80,16,55,39
81,10,41,31
82,23,63,40
83,42,57,15
84,29,67,38
85,26,55,29
86,26,49,23
87,31,67,36
88,34,64,30
89,23,63,40
90,30,64,34
91,31,62,31
92,21,60,39
93,15,55,40
94,35,57,22
95,24,59,35
96,29,67,38
97,37,65,28
98,28,59,31
99,20,60,40
100,8,65,57
101,33,68,35
102,41,73,32
103,37,64,27
104,31,60,29
105,26,60,34
106,20,71,51
107,26,65,39
108,48,75,27
109,17,66,49
110,42,72,30
111,23,65,42
112,31,63,32
113,35,55,20
114,25,60,35
115,33,55,22
116,42,66,24
117,29,63,34
118,32,56,24
119,13,48,35
120,33,62,29
121,17,60,43
122,23,71,48
123,23,56,33
124,34,66,32
125,34,61,27
126,28,57,29
127,37,59,22
128,16,69,53
129,39,72,33
130,17,55,38
131,49,68,19
132,19,63,44
133,31,68,37
134,23,66,43
135,19,75,56
136,42,62,20
137,34,63,29
138,25,54,29
139,29,59,30
140,47,68,21
141,21,46,25
142,19,48,29
143,34,63,29
144,33,70,37
145,10,52,42
146,35,69,34
147,28,68,40
148,9,66,57
149,43,74,31
150,14,50,36
151,33,69,36
152,22,61,39
153,24,56,32
154,17,53,36
155,24,52,28
156,17,58,41
157,22,56,34
158,31,71,40
159,26,62,36
160,27,56,29
161,38,72,34
162,42,62,20
163,42,66,24
164,20,57,37
165,24,52,28
166,14,61,47
167,37,60,23
168,23,63,40
169,50,68,18
170,9,55,46
171,13,75,62
172,24,67,43
173,37,61,24
174,22,57,35
175,25,62,37
176,27,60,33
177,23,59,36
178,29,57,28
179,33,67,34
180,26,60,34
181,24,56,32
182,18,53,35
183,23,67,44
184,14,51,37
185,20,64,44
186,35,58,23
187,28,55,27
188,6,52,46
189,27,59,32
190,16,60,44
191,21,53,32
192,30,64,34
193,38,63,25
194,24,69,45
195,30,56,26
196,31,66,35
197,17,68,51
198,39,71,32
199,19,55,36
200,24,67,43
201,39,64,25
202,31,66,35
203,19,56,37
204,26,59,33
205,34,66,32
206,25,62,37
207,33,59,26
208,26,67,41
209,33,64,31
210,40,65,25
211,37,67,30
212,38,55,17
213,38,66,28
214,23,66,43
215,30,64,34
216,23,65,42
217,32,56,24
218,14,54,40
219,44,64,20
220,29,55,26
221,21,62,41
222,33,59,26
223,23,59,36
224,32,62,30
225,29,50,21
226,14,62,48
227,13,55,42
228,23,68,45
229,34,75,41
230,25,58,33
231,21,56,35
232,26,71,45
233,38,65,27
234,28,61,33
235,17,61,44
236,19,53,34
237,19,68,49
238,43,71,28
239,22,42,20
240,28,54,26
241,16,59,43
242,32,72,40
243,16,58,42
244,26,54,28
245,30,63,33
246,25,56,31
247,13,50,37
248,26,52,26
249,30,64,34
250,35,65,30
251,29,59,30
252,27,65,38
253,37,67,30
254,14,56,42
255,22,53,31
256,27,68,41
257,5,63,58
258,15,56,41
259,38,61,23
260,24,58,34
261,41,69,28
262,15,57,42
263,23,63,40
264,42,64,22
265,37,56,19
266,26,67,41
267,41,59,18
268,25,70,45
269,32,58,26
270,25,66,41
271,25,61,36
272,29,63,34
273,38,67,29
274,27,62,35
275,41,65,24
276,33,53,20
277,34,66,32
278,33,63,30
279,19,67,48
280,38,62,24
281,23,58,35
282,36,75,39
283,43,65,22
284,13,62,49
285,35,63,28
286,33,54,21
287,40,75,35
288,24,64,40
289,35,64,29
290,26,58,32
291,40,63,23
292,37,68,31
293,39,66,27
294,23,58,35
295,16,53,37
296,16,52,36
297,13,61,48
298,21,58,37
299,33,52,19
300,28,65,37
301,14,62,48
302,13,63,50
303,26,62,36
304,41,71,30
305,12,57,45
306,24,42,18
307,16,61,45
308,35,63,28
309,43,78,35
310,24,62,38
311,19,57,38
312,35,57,22
313,10,60,50
314,29,63,34
315,28,49,21
316,33,53,20
317,42,67,25
318,16,65,49
319,22,62,40
320,15,52,37
321,28,62,34
322,50,66,16
323,27,57,30
324,24,71,47
325,19,62,43
326,32,57,25
327,37,63,26
328,35,56,21
329,28,60,32
330,35,72,37
331,35,71,36
332,33,71,38
333,25,53,28
334,35,66,31
335,26,53,27
336,22,55,33
337,41,57,16
338,38,63,25
339,48,65,17
340,25,57,32
341,15,55,40
342,20,58,38
343,16,67,51
344,18,55,37
345,27,64,37
346,27,59,32
347,25,62,37
348,21,59,38
349,33,58,25
350,14,57,43
351,17,54,37
352,38,61,23
353,21,57,36
354,32,55,23
355,31,73,42
356,37,74,37
357,7,64,57
358,11,65,54
359,20,58,38
360,13,51,38
361,26,55,29
362,41,70,29
363,33,58,25
364,53,65,12
365,26,57,31
366,27,54,27
367,22,55,33
368,37,63,26
369,33,62,29
370,26,48,22
371,33,61,28
372,24,60,36
373,34,60,26
374,26,64,38
375,38,67,29
376,17,58,41
377,39,73,34
378,21,62,41
379,43,71,28
380,29,58,29
381,24,54,30
382,28,56,28
383,10,63,53
384,14,52,38
385,14,63,49
386,35,66,31
387,15,58,43
388,47,65,18
389,25,56,31
390,34,64,30
391,25,55,30
392,11,65,54
393,12,55,43
394,35,69,34
395,18,59,41
396,35,69,34
397,17,58,41
398,27,66,39
399,21,71,50
400,27,59,32
401,30,57,27
402,25,63,38
403,40,56,16
404,34,66,32
405,8,55,47
406,36,58,22
407,28,57,29
408,13,73,60
409,29,68,39
410,31,60,29
411,32,62,30
412,21,64,43
413,39,54,15
414,22,68,46
415,28,69,41
416,16,58,42
417,34,68,34
418,17,57,40
419,14,63,49
420,35,56,21
421,31,64,33
422,31,56,25
423,42,70,28
424,33,70,37
425,37,63,26
426,19,52,33
427,32,55,23
428,30,72,42
429,36,55,19
430,43,62,19
431,27,62,35
432,17,53,36
433,17,58,41
434,33,61,28
435,39,58,19
436,33,70,37
437,30,60,30
438,23,58,35
439,32,70,38
440,32,57,25
441,23,64,41
442,29,53,24
443,24,54,30
444,23,61,38
445,28,67,39
446,36,64,28
447,27,70,43
448,23,55,32
449,11,47,36
450,13,63,50
451,40,69,29
452,26,67,41
453,23,61,38
454,26,74,48
455,22,60,38
456,19,56,37
457,30,60,30
458,18,71,53
459,20,59,39
460,25,69,44
461,16,49,33
462,33,71,38
463,32,70,38
464,32,63,31
465,38,75,37
466,25,61,36
467,13,56,43
468,24,64,40
469,34,60,26
470,21,57,36
471,21,62,41
472,56,63,7
473,49,69,20
474,35,76,41
475,11,60,49
476,23,38,15
477,24,68,44
478,47,63,16
479,21,57,36
480,23,55,32
481,25,58,33
482,15,59,44
483,39,62,23
