variant_id,correct_success_count,total_success_count,wrong_success_count
0,40,73,33
1,21,59,38
2,15,50,35
3,10,35,25
4,24,68,44
5,30,64,34
6,14,49,35
7,22,66,44
8,22,51,29
9,28,60,32
10,36,60,24
11,32,70,38
12,16,53,37
13,10,37,27
14,26,60,34
15,26,68,42
16,32,65,33
17,19,62,43
18,38,68,30
19,41,73,32
20,45,74,29
21,48,78,30
22,14,47,33
23,38,65,27
24,11,42,31
25,24,65,41
26,32,56,24
27,16,56,40
28,37,72,35
29,37,77,40
30,30,64,34
31,10,51,41
32,30,65,35
33,17,47,30
34,18,55,37
35,29,64,35
36,22,44,22
37,22,59,37
38,36,57,21
39,33,70,37
40,40,75,35
41,36,68,32
42,38,63,25
43,27,62,35
44,41,66,25
45,26,61,35
46,38,75,37
47,30,62,32
48,38,74,36
49,25,65,40
50,18,56,38
51,18,49,31
52,33,64,31
53,9,44,35
54,28,61,33
55,23,61,38
56,42,66,24
57,33,66,33
58,17,60,43
59,19,57,38
60,37,73,36
61,6,44,38
62,27,65,38
63,20,58,38
64,22,58,36
65,38,71,33
66,37,68,31
67,25,60,35
68,28,55,27
69,22,52,30
70,31,66,35
71,33,68,35
72,43,61,18
73,19,55,36
74,37,68,31
75,20,54,34
76,38,74,36
77,24,65,41
78,38,76,38
79,21,52,31
80,44,83,39
81,38,77,39
82,38,67,29
83,33,60,27
84,15,48,33
85,17,49,32
86,30,60,30
87,37,74,37
88,31,70,39
89,8,48,40
90,16,51,35
91,28,62,34
92,36,71,35
93,21,59,38
94,13,51,38
95,34,65,31
96,33,67,34
97,18,51,33
98,39,68,29
99,13,50,37
100,7,53,46
101,35,64,29
102,23,63,40
103,14,55,41
104,29,67,38
105,35,76,41
106,22,61,39
107,41,78,37
108,40,74,34
109,1,49,48
110,19,53,34
111,16,55,39
112,14,60,46
113,18,53,35
114,37,65,28
115,20,50,30
116,7,41,34
117,27,62,35
118,22,54,32
119,7,43,36
120,38,66,28
121,37,80,43
122,34,57,23
123,18,65,47
124,14,50,36
125,42,75,33
126,13,43,30
127,33,74,41
128,6,45,39
129,19,61,42
130,50,78,28
131,22,65,43
132,18,50,32
133,28,54,26
134,32,75,43
135,41,75,34
136,43,70,27
137,19,58,39
138,24,52,28
139,31,69,38
140,27,61,34
141,12,41,29
142,8,53,45
143,17,59,42
144,27,55,28
145,43,72,29
146,23,62,39
147,11,48,37
148,6,45,39
149,27,66,39
150,37,78,41
151,33,69,36
152,25,62,37
153,27,59,32
154,15,48,33
155,15,44,29
156,37,73,36
157,20,64,44
158,9,50,41
159,30,65,35
160,37,69,32
161,25,57,32
162,13,48,35
163,43,72,29
164,36,79,43
165,26,59,33
166,12,37,25
167,25,55,30
168,30,65,35
169,16,48,32
170,37,73,36
171,16,50,34
172,37,80,43
173,32,57,25
174,16,50,34
175,16,49,33
176,18,52,34
177,30,62,32
178,34,71,37
179,46,77,31
180,30,60,30
181,13,44,31
182,34,63,29
183,27,66,39
184,33,69,36
185,28,56,28
186,29,65,36
187,13,60,47
188,20,50,30
189,35,63,28
190,33,67,34
191,16,50,34
192,31,59,28
193,33,56,23
194,39,63,24
195,15,49,34
196,10,56,46
197,7,32,25
198,30,69,39
199,40,69,29
200,28,60,32
201,31,66,35
202,37,66,29
203,9,42,33
204,13,41,28
205,29,57,28
206,14,53,39
207,47,76,29
208,20,59,39
209,35,69,34
210,36,70,34
211,47,76,29
212,13,50,37
213,38,69,31
214,9,55,46
215,12,47,35
216,18,53,35
217,19,47,28
218,23,61,38
219,31,62,31
220,32,60,28
221,38,79,41
222,19,57,38
223,20,58,38
224,35,67,32
225,30,66,36
226,25,55,30
227,13,49,36
228,24,59,35
229,31,62,31
230,12,55,43
231,15,40,25
232,27,66,39
233,35,62,27
234,32,61,29
235,31,67,36
236,39,68,29
237,29,58,29
238,27,62,35
239,17,62,45
240,39,71,32
241,27,62,35
242,38,72,34
243,40,71,31
244,15,64,49
245,41,72,31
246,17,60,43
247,29,65,36
248,35,62,27
249,14,45,31
250,42,78,36
251,31,60,29
252,15,48,33
253,40,66,26
254,29,68,39
255,27,64,37
256,13,44,31
257,13,53,40
258,37,70,33
259,19,59,40
260,5,34,29
261,42,71,29
262,19,58,39
263,41,68,27
264,35,60,25
265,7,49,42
266,13,50,37
267,9,61,52
268,36,71,35
269,29,64,35
270,25,42,17
271,28,70,42
272,35,76,41
273,45,76,31
274,17,45,28
275,27,49,22
276,24,53,29
277,25,62,37
278,23,62,39
279,11,47,36
280,12,49,37
281,10,52,42
282,14,59,45
283,6,47,41
284,34,70,36
285,23,56,33
286,23,54,31
287,23,53,30
288,33,70,37
289,6,42,36
290,32,62,30
291,8,49,41
292,10,51,41
293,31,55,24
294,29,64,35
295,31,64,33
296,26,55,29
297,18,59,41
298,28,62,34
299,22,68,46
300,17,50,33
301,20,54,34
302,28,70,42
303,31,65,34
304,28,61,33
305,35,68,33
306,16,65,49
307,39,65,26
308,27,65,38
309,21,55,34
310,22,56,34
311,13,60,47
312,16,46,30
313,15,57,42
314,39,73,34
315,15,64,49
316,24,51,27
317,29,63,34
318,25,54,29
319,15,61,46
320,18,57,39
321,20,59,39
322,24,61,37
323,24,63,39
324,11,58,47
325,35,63,28
326,36,76,40
327,21,68,47
328,38,69,31
329,25,63,38
330,31,67,36
331,20,52,32
332,26,55,29
333,21,47,26
334,30,57,27
335,26,60,34
336,16,57,41
337,29,57,28
338,17,56,39
339,38,63,25
340,15,55,40
341,20,55,35
342,32,70,38
343,16,51,35
344,18,50,32
345,25,61,36
346,32,59,27
347,23,57,34
348,14,54,40
349,31,62,31
350,12,45,33
351,41,71,30
352,8,34,26
353,40,70,30
354,6,46,40
355,9,55,46
356,29,67,38
357,11,56,45
358,38,61,23
359,16,54,38
360,32,66,34
361,48,74,26
362,10,61,51
363,15,50,35
364,8,52,44
365,14,56,42
366,13,49,36
367,31,71,40
368,16,54,38
369,14,48,34
370,30,59,29
371,29,69,40
372,32,68,36
