variant_id,correct_success_count,total_success_count,wrong_success_count
0,21,49,28
1,16,49,33
2,5,62,57
3,9,41,32
4,23,66,43
5,15,50,35
6,7,63,56
7,15,48,33
8,14,61,47
9,18,57,39
10,20,54,34
11,27,66,39
12,4,52,48
13,10,59,49
14,19,58,39
15,15,61,46
16,26,58,32
17,8,36,28
18,16,55,39
19,18,48,30
20,34,70,36
21,33,66,33
22,5,51,46
23,25,57,32
24,10,54,44
25,11,48,37
26,14,51,37
27,14,60,46
28,29,66,37
29,28,64,36
30,30,58,28
31,5,38,33
32,15,45,30
33,12,55,43
34,10,48,38
35,18,55,37
36,7,47,40
37,9,40,31
38,17,56,39
39,25,53,28
40,21,50,29
41,20,53,33
42,26,65,39
43,24,55,31
44,21,53,32
45,12,41,29
46,19,57,38
47,24,50,26
48,36,63,27
49,11,55,44
50,9,39,30
51,16,50,34
52,18,49,31
53,3,50,47
54,19,50,31
55,13,56,43
56,26,69,43
57,18,52,34
58,12,60,48
59,5,50,45
60,23,71,48
61,2,46,44
62,22,67,45
63,11,54,43
64,23,54,31
65,20,54,34
66,24,60,36
67,21,68,47
68,14,48,34
69,12,54,42
70,15,51,36
71,22,49,27
72,22,55,33
73,10,63,53
74,23,54,31
75,11,49,38
76,32,64,32
77,28,65,37
78,29,69,40
79,19,52,33
80,34,60,26
81,27,65,38
82,28,55,27
83,27,61,34
84,10,40,30
85,3,44,41
86,23,45,22
87,18,44,26
88,19,60,41
89,2,35,33
90,7,48,41
91,20,72,52
92,27,64,37
93,6,40,34
94,6,54,48
95,15,50,35
96,23,58,35
97,10,57,47
98,31,63,32
99,3,44,41
100,1,48,47
101,28,69,41
102,14,56,42
103,5,45,40
104,16,71,55
105,22,63,41
106,14,61,47
107,21,65,44
108,23,58,35
109,9,56,47
110,6,49,43
111,12,57,45
112,5,39,34
113,9,47,38
114,17,49,32
115,13,47,34
116,5,49,44
117,24,56,32
118,9,67,58
119,2,54,52
120,23,65,42
121,23,57,34
122,17,46,29
123,17,66,49
124,4,50,46
125,25,52,27
126,7,46,39
127,18,61,43
128,7,56,49
129,6,48,42
130,22,60,38
131,22,55,33
132,6,41,35
133,18,58,40
134,22,61,39
135,29,61,32
136,23,62,39
137,15,54,39
138,6,58,52
139,27,64,37
140,18,69,51
141,11,39,28
142,9,50,41
143,4,41,37
144,15,49,34
145,19,66,47
146,9,55,46
147,6,55,49
148,5,50,45
149,24,60,36
150,36,70,34
151,19,46,27
152,17,61,44
153,22,64,42
154,17,59,42
155,12,48,36
156,27,70,43
157,21,55,34
158,2,46,44
159,23,60,37
160,19,57,38
161,18,57,39
162,3,42,39
163,16,55,39
164,33,65,32
165,16,56,40
166,3,61,58
167,4,55,51
168,20,69,49
169,8,55,47
170,21,67,46
171,7,51,44
172,19,51,32
173,13,58,45
174,1,45,44
175,6,43,37
176,7,52,45
177,26,72,46
178,15,61,46
179,24,53,29
180,32,51,19
181,1,57,56
182,22,59,37
183,17,45,28
184,24,60,36
185,12,49,37
186,20,70,50
187,8,44,36
188,5,53,48
189,24,57,33
190,28,69,41
191,5,50,45
192,27,61,34
193,8,51,43
194,24,58,34
195,7,47,40
196,3,52,49
197,2,52,50
198,25,58,33
199,27,50,23
200,17,49,32
201,17,56,39
202,26,57,31
203,5,61,56
204,7,59,52
205,23,48,25
206,7,45,38
207,33,63,30
208,6,47,41
209,27,66,39
210,26,67,41
211,30,64,34
212,6,56,50
213,19,49,30
214,3,48,45
215,10,45,35
216,6,46,40
217,4,46,42
218,15,52,37
219,13,44,31
220,14,64,50
221,21,69,48
222,3,53,50
223,12,49,37
224,21,68,47
225,19,65,46
226,11,60,49
