category,object_id,num_variants,complete_32_variants,mean_stored_count,missing_to_target,attempt_steps_per_stored,success_rate,stored_rate,below_32_variants,object_name
afar,0,64,53,46.0,1.171875,1209.1904876073525,0.9468912376256814,0.4070318609978829,11,Band_Aid_0
afar,1,64,58,53.359375,0.609375,1023.8086363757548,0.9577305080910644,0.4632520525159521,6,Dixie_cup_0
afar,2,64,41,38.875,3.203125,1522.7719065975891,0.8609149357902087,0.342053356156957,23,Dixie_cup_3
afar,3,64,56,52.375,0.6875,1049.0717856681051,0.954176521753695,0.4459535568079543,8,Dixie_cup_4
afar,4,64,54,47.109375,1.484375,1228.8806131572314,0.950112660416837,0.4034546849925754,10,Tabasco_sauce_2
afar,5,64,51,47.5625,1.375,1195.5222779278088,0.93235801703724,0.4078545833639606,13,Tabasco_sauce_4
afar,6,64,59,51.015625,0.703125,1063.1946568139126,0.9515156076197386,0.4391267894254752,5,aerosol_can_1
afar,7,64,49,45.703125,1.9375,1267.4430271490328,0.9602703787476,0.4074408591916085,15,atomizer_0
afar,8,64,58,46.3125,0.78125,1175.6364097198586,0.9595214750150398,0.4089897189913578,6,bandage_4
afar,9,64,55,48.359375,0.921875,1155.058365529767,0.9441944825990236,0.4242987617399367,9,bear_0
afar,10,64,49,45.40625,1.515625,1243.382327089059,0.925936218417343,0.3842995061466997,15,beer_bottle_0
afar,11,64,56,48.359375,0.84375,1139.380023312522,0.9133412924602704,0.4061266508775731,8,beer_bottle_3
afar,12,64,50,42.1875,1.984375,1324.3922884277106,0.863972919571366,0.3503432209829751,14,beer_can_1
afar,13,64,42,41.421875,2.359375,1389.0275325982668,0.8718007598649513,0.350768535254759,22,beer_can_4
afar,14,64,53,47.171875,1.046875,1165.745945461751,0.9487655972951736,0.4213301670921093,11,beret_2
afar,15,64,56,47.828125,1.515625,1217.7397253204845,0.960449336006872,0.4223083884962975,8,bolt_1
afar,16,64,56,48.703125,0.984375,1139.865136265126,0.9504562628458618,0.431320381729767,8,boom_microphone_1
afar,17,64,53,44.234375,1.234375,1271.3798481914594,0.919671295994304,0.3895111733011472,11,bottle_0
afar,18,64,57,49.640625,0.578125,1085.8772211149785,0.9648774969791872,0.4385255981143239,7,bottle_2
afar,19,64,52,47.3125,1.484375,1202.4960226729067,0.935625477127381,0.4152936067553484,12,bottle_3
afar,20,64,55,50.28125,1.40625,1163.239250650979,0.9645577034426612,0.428745778688101,9,can_1
afar,21,64,56,47.53125,0.875,1148.587333407988,0.92502036456863,0.4160706352354597,8,candle_holder_4
afar,22,64,54,47.859375,1.828125,1268.869549674053,0.9482529941238136,0.4249005225598247,10,candy_cane_1
afar,23,64,54,50.53125,1.140625,1118.08636535567,0.964918553430132,0.4400590928906011,10,canister_0
afar,24,64,54,49.40625,1.03125,1120.0884650036728,0.9484290936848278,0.4213569288176235,10,canister_1
afar,25,64,50,43.609375,1.296875,1265.9024849115497,0.9313247710646748,0.3690825207231273,14,canister_2
afar,26,64,53,48.265625,1.5625,1208.097263333426,0.9332671558428708,0.4206241159725702,11,canister_3
afar,27,64,50,45.984375,2.015625,1282.7757167073537,0.9398909277899246,0.3978546806469609,14,chalice_2
afar,28,64,51,47.390625,1.328125,1191.3340066052156,0.9534627742452024,0.4157167170733977,13,chalice_4
afar,29,64,53,47.5625,1.90625,1284.836295478578,0.9427989895859044,0.4003532538513516,11,chicken_(animal)_2
afar,30,64,55,51.09375,1.421875,1169.636708450648,0.9671656750114188,0.4427190428301309,9,chocolate_milk_4
