mini_variant_id,source_variant_id,object_id,attempts,successes,failures,success_rate,z_shift,table_x,table_y,table_z,object_mass,source_rank,source_local_env_id,stored_failure_count
0,1629,12,57,1,56,0.017543859649122806,0.6890473961830139,0.6952309608459473,0.8230245113372803,0.05000000074505806,0.2064771056175232,7,730,11
1,1862,25,48,1,47,0.020833333333333332,0.4171399772167206,0.5129929780960083,0.9017603397369385,0.05000000074505806,0.33344829082489014,7,607,15
2,355,4,35,1,34,0.02857142857142857,0.7441689372062683,0.6388928294181824,0.9417421817779541,0.05000000074505806,0.3054260015487671,6,208,6
3,462,26,59,2,57,0.03389830508474576,0.7459139823913574,0.556654691696167,1.0296660661697388,0.05000000074505806,0.2050400823354721,7,705,18
4,1985,17,39,2,37,0.05128205128205128,0.4000515043735504,0.529752254486084,0.628440260887146,0.05000000074505806,0.7072356939315796,4,238,9
5,377,27,39,2,37,0.05128205128205128,0.7796696424484253,0.6991190314292908,0.6059018969535828,0.05000000074505806,0.5134996771812439,4,173,12
6,648,6,36,2,34,0.05555555555555555,0.42375800013542175,0.5273309350013733,0.9237935543060303,0.05000000074505806,0.28655433654785156,3,138,10
7,1634,13,64,4,60,0.0625,0.40680691599845886,0.609184205532074,0.6639010310173035,0.05000000074505806,0.24261276423931122,5,842,16
8,778,5,47,3,44,0.06382978723404255,0.47206297516822815,0.6514708995819092,0.734597384929657,0.05000000074505806,0.38468319177627563,5,729,11
9,1846,2,45,5,40,0.1111111111111111,0.43392080068588257,0.569681704044342,1.1673673391342163,0.05000000074505806,0.4476604163646698,7,553,11
10,506,11,27,3,24,0.1111111111111111,0.515434741973877,0.6913468241691589,0.6324479579925537,0.05000000074505806,0.5645385980606079,5,766,4
11,772,23,33,4,29,0.12121212121212122,0.41765496134757996,0.6195469498634338,0.975586473941803,0.05000000074505806,0.43066325783729553,7,981,9
12,1056,9,39,6,33,0.15384615384615385,0.6574743986129761,0.5001973509788513,0.6501412391662598,0.05000000074505806,0.4099377691745758,3,943,7
13,1773,31,32,5,27,0.15625,0.7806364297866821,0.5421580076217651,0.757906973361969,0.05000000074505806,0.449567973613739,7,1011,8
14,1936,21,43,8,35,0.18604651162790697,0.7746114730834961,0.6587635278701782,1.187279462814331,0.05000000074505806,0.30724310874938965,3,456,11
15,1760,24,48,11,37,0.22916666666666666,0.7666527032852173,0.6516868472099304,0.7280260920524597,0.05000000074505806,0.5910906791687012,3,589,6
